Visitas_Mes,Tiempo_Sesion_Segundos,Paginas_Vistas,Edad_Cuenta_Dias,Dispositivo,Origen_Trafico,Carrito_Activo,Uso_Cupon,Compra
26,554,10,326,Movil,Organico,True,False,Si
20,50,10,330,Tablet,Referido,False,False,Si
4,269,4,261,Tablet,Redes,False,False,No
25,700,10,353,Tablet,Redes,False,True,Si
10,430,15,43,Movil,Redes,False,False,Si
26,216,9,247,Ordenador,Referido,True,False,Si
15,331,2,153,Movil,Organico,True,False,Si
22,824,3,124,Tablet,Redes,True,False,Si
15,242,13,207,Tablet,Redes,True,False,Si
24,633,15,101,Ordenador,Referido,False,True,Si
7,290,13,360,Movil,Organico,True,False,Si
15,121,5,343,Ordenador,Anuncio,False,False,No
12,365,14,234,Tablet,Redes,False,True,Si
11,125,4,156,Movil,Redes,False,True,No
14,615,3,294,Ordenador,Referido,True,False,Si
23,665,15,88,Tablet,Redes,False,False,Si
11,867,8,317,Movil,Anuncio,True,False,Si
27,398,9,258,Tablet,Referido,False,False,Si
27,459,8,85,Movil,Organico,True,False,Si
8,555,5,86,Ordenador,Referido,True,True,Si
18,848,6,277,Movil,Referido,True,False,Si
27,674,13,126,Ordenador,Organico,False,False,Si
27,94,8,60,Movil,Redes,False,False,No
5,808,4,105,Movil,Anuncio,False,True,Si
23,304,5,293,Ordenador,Organico,True,False,Si
9,892,11,64,Tablet,Redes,True,True,Si
27,258,13,346,Ordenador,Referido,True,False,Si
13,467,2,324,Movil,Referido,False,False,No
16,340,10,1,Tablet,Organico,False,False,Si
26,552,7,111,Ordenador,Redes,False,False,Si
10,350,9,295,Movil,Referido,False,True,Si
21,807,14,235,Movil,Organico,True,False,Si
14,212,12,67,Tablet,Anuncio,True,False,Si
12,261,2,190,Tablet,Redes,True,False,Si
24,721,13,119,Ordenador,Organico,True,True,Si
3,140,10,115,Tablet,Referido,True,True,Si
27,128,14,216,Tablet,Redes,False,True,Si
3,753,13,52,Movil,Anuncio,False,False,Si
25,837,13,68,Tablet,Redes,True,True,Si
6,455,6,109,Tablet,Redes,False,False,No
3,107,3,63,Tablet,Referido,False,False,No
5,258,5,330,Movil,Redes,False,True,Si
22,313,4,265,Tablet,Redes,False,False,No
26,817,4,253,Ordenador,Organico,True,False,Si
3,545,15,6,Ordenador,Anuncio,True,False,Si
19,435,6,279,Tablet,Redes,False,True,No
3,19,5,110,Movil,Organico,False,False,No
17,790,7,216,Tablet,Referido,True,True,Si
10,85,9,104,Movil,Anuncio,False,True,No
14,752,14,122,Movil,Redes,True,False,Si
20,628,1,158,Tablet,Redes,True,True,Si
23,16,3,254,Ordenador,Anuncio,True,False,Si
25,899,5,60,Movil,Anuncio,False,False,Si
9,734,10,321,Movil,Referido,False,False,Si
28,585,3,188,Movil,Anuncio,True,True,Si
17,7,1,6,Movil,Organico,False,False,No
5,188,15,18,Tablet,Referido,True,False,Si
30,742,6,138,Movil,Anuncio,True,True,Si
26,533,1,205,Movil,Referido,False,False,Si
18,472,1,188,Movil,Anuncio,False,True,No
19,510,13,100,Tablet,Redes,True,True,Si
1,243,9,177,Tablet,Organico,False,True,Si
13,874,12,157,Movil,Redes,True,False,Si
2,150,12,143,Movil,Organico,True,False,Si
12,474,12,43,Tablet,Organico,True,False,Si
19,68,7,339,Movil,Redes,False,False,Si
30,825,7,358,Tablet,Anuncio,False,False,Si
3,212,3,299,Movil,Redes,True,True,Si
11,421,2,274,Ordenador,Redes,False,False,No
28,127,2,80,Tablet,Anuncio,True,True,Si
11,156,2,364,Movil,Anuncio,False,True,No
9,844,3,15,Ordenador,Referido,True,True,Si
26,817,3,62,Movil,Organico,True,True,Si
13,386,11,322,Tablet,Organico,False,True,Si
3,207,15,330,Ordenador,Redes,True,False,Si
15,56,3,293,Ordenador,Referido,False,True,No
14,181,6,109,Movil,Anuncio,False,False,No
2,633,10,315,Movil,Anuncio,False,False,Si
16,67,2,143,Ordenador,Redes,False,True,No
26,543,4,322,Tablet,Organico,False,False,Si
26,501,6,289,Tablet,Anuncio,False,False,Si
11,616,4,15,Ordenador,Organico,False,False,Si
8,168,2,126,Tablet,Redes,False,True,No
8,594,14,198,Ordenador,Redes,True,True,Si
26,760,12,183,Tablet,Organico,False,True,Si
7,861,13,252,Tablet,Anuncio,True,False,Si
2,243,10,112,Movil,Referido,True,False,Si
7,830,3,174,Tablet,Redes,False,True,No
19,726,15,72,Movil,Anuncio,True,False,Si
22,410,10,51,Ordenador,Anuncio,False,True,Si
