Horas_Estudio,Faltas,Nota_Media,Tutorias_Semanales,Participacion,Tipo_Estudio,Entrega_Completa,Acceso_Plataforma,Aprueba
10,1,1,2,Alta,Individual,True,True,Si
0,0,2,1,Alta,Mixto,True,True,No
11,8,7,1,Media,Grupo,True,True,Si
5,4,3,1,Baja,Grupo,True,True,No
5,13,6,4,Alta,Individual,False,True,No
6,1,9,2,Baja,Mixto,False,True,Si
0,10,4,2,Baja,Individual,True,False,No
10,13,6,1,Media,Individual,False,True,No
2,8,4,1,Media,Grupo,True,False,No
12,0,4,0,Baja,Grupo,False,True,No
9,14,6,1,Media,Grupo,False,True,No
3,11,9,4,Alta,Mixto,False,False,No
2,8,8,0,Baja,Individual,True,True,No
6,9,2,3,Media,Grupo,False,True,No
1,10,9,2,Baja,Grupo,True,False,No
7,0,5,4,Baja,Mixto,True,False,Si
8,9,4,1,Media,Individual,True,False,No
1,14,6,2,Alta,Individual,True,True,No
1,12,9,1,Alta,Grupo,True,False,No
9,6,4,4,Baja,Mixto,True,False,No
10,10,6,3,Baja,Grupo,True,True,Si
5,0,10,4,Alta,Individual,True,True,Si
0,3,2,0,Baja,Individual,True,False,No
3,8,3,4,Media,Individual,False,False,No
1,10,7,2,Media,Grupo,True,True,No
11,5,2,1,Alta,Mixto,False,True,No
4,7,4,0,Media,Mixto,True,True,No
8,13,1,0,Baja,Individual,True,False,No
3,13,7,0,Alta,Individual,False,False,No
12,7,5,3,Media,Mixto,False,True,Si
3,0,10,4,Alta,Grupo,True,True,Si
8,14,9,1,Alta,Mixto,True,True,Si
1,10,4,3,Alta,Mixto,True,True,No
6,10,10,4,Media,Grupo,True,False,Si
6,2,5,3,Alta,Individual,True,False,Si
9,1,2,4,Alta,Grupo,True,False,Si
3,5,5,1,Media,Mixto,False,True,No
8,4,2,1,Alta,Individual,True,False,No
3,11,6,1,Media,Grupo,False,False,No
0,1,7,2,Alta,Grupo,True,False,Si
7,8,7,4,Alta,Individual,True,True,Si
9,8,3,3,Alta,Grupo,False,True,No
3,10,4,0,Media,Mixto,False,True,No
3,13,3,1,Baja,Individual,True,False,No
6,12,4,2,Alta,Mixto,True,False,No
7,3,4,3,Alta,Individual,True,True,Si
6,5,5,0,Baja,Grupo,False,False,No
8,5,1,0,Baja,Grupo,True,False,No
9,6,6,2,Media,Mixto,True,False,Si
3,4,1,3,Alta,Mixto,True,False,No
10,14,6,4,Alta,Individual,False,False,No
5,6,5,4,Alta,Grupo,False,True,No
4,6,9,0,Alta,Individual,False,False,No
7,10,4,4,Media,Mixto,True,True,Si
10,10,10,2,Alta,Individual,False,True,Si
2,0,1,1,Baja,Mixto,True,False,No
10,9,4,3,Media,Individual,True,True,Si
12,14,2,3,Alta,Mixto,False,True,No
1,7,3,3,Media,Mixto,False,False,No
11,14,9,3,Baja,Mixto,False,True,No
7,7,5,1,Baja,Grupo,False,True,No
1,11,5,1,Alta,Grupo,True,True,No
6,11,3,1,Alta,Grupo,False,False,No
3,13,7,3,Baja,Mixto,True,False,No
5,4,7,3,Media,Mixto,True,False,Si
6,7,1,3,Alta,Mixto,False,True,No
2,9,9,0,Baja,Mixto,True,True,No
2,13,8,1,Alta,Grupo,False,True,No
5,12,7,2,Baja,Grupo,False,True,No
11,8,1,2,Alta,Individual,True,True,Si
3,13,1,4,Alta,Individual,False,True,No
3,7,5,2,Alta,Mixto,True,True,Si
1,9,1,2,Media,Grupo,False,True,No
11,13,4,0,Media,Grupo,True,True,No
6,10,6,0,Media,Grupo,True,False,No
1,6,6,3,Media,Grupo,True,False,No
8,12,8,3,Media,Mixto,False,False,No
1,4,8,1,Baja,Mixto,False,False,No
