Presupuesto,Visitas_Vivienda,Dias_Desde_Contacto,Edad_Cliente,Tipo_Vivienda,Zona,Hipoteca_Preaprobada,Contacto_Rapido,Cierre_Venta
347382,7,58,33,Atico,Sur,True,True,Si
106663,1,53,56,Atico,Norte,True,True,No
113105,4,41,34,Atico,Sur,False,False,No
151594,0,54,38,Estudio,Sur,False,True,No
84059,0,54,28,Chalet,Sur,False,False,No
200671,1,23,72,Estudio,Norte,True,False,No
299357,4,53,44,Atico,Afueras,True,True,Si
440848,0,60,74,Chalet,Centro,False,False,No
415673,7,11,59,Atico,Sur,True,True,Si
315916,1,56,46,Atico,Centro,True,False,No
66480,8,49,67,Chalet,Sur,True,False,Si
190325,7,22,62,Atico,Norte,True,True,Si
142275,8,54,50,Atico,Norte,True,False,Si
233484,4,3,52,Chalet,Afueras,False,True,Si
292882,7,5,74,Atico,Afueras,False,True,Si
402555,0,6,45,Atico,Centro,True,True,Si
384568,4,56,52,Chalet,Afueras,False,False,No
176873,7,21,55,Atico,Sur,False,True,Si
405458,3,0,41,Estudio,Sur,False,True,Si
146064,7,8,72,Atico,Centro,False,True,Si
265990,3,29,72,Chalet,Sur,True,False,No
392000,1,49,48,Atico,Norte,False,True,No
85465,8,59,47,Atico,Norte,True,True,Si
404730,5,32,44,Atico,Norte,False,False,Si
214231,7,51,28,Chalet,Afueras,False,False,No
350236,3,12,33,Estudio,Sur,True,True,Si
424019,5,45,27,Estudio,Afueras,False,False,No
281452,0,33,26,Piso,Afueras,True,True,No
164806,4,48,70,Chalet,Sur,False,True,No
422070,4,13,68,Piso,Sur,False,True,Si
414170,8,55,34,Atico,Norte,False,True,Si
263190,6,50,63,Estudio,Centro,True,False,Si
292293,3,58,60,Estudio,Norte,True,False,No
417909,1,11,31,Piso,Afueras,True,False,Si
198537,2,10,57,Estudio,Centro,False,False,No
141162,0,9,40,Piso,Sur,False,False,No
431028,5,33,34,Chalet,Centro,True,False,Si
271506,1,22,34,Chalet,Sur,False,False,No
384157,8,30,55,Piso,Centro,False,False,Si
396731,3,2,63,Estudio,Afueras,True,False,Si
439571,4,1,53,Estudio,Afueras,False,True,Si
401588,3,20,52,Piso,Centro,True,True,Si
170510,3,55,63,Atico,Centro,True,False,No
97811,2,1,49,Estudio,Centro,True,True,Si
192072,8,4,56,Chalet,Sur,False,False,Si
