Horas_Uso,Temperatura,Vibracion,Revisiones_Anuales,Tipo_Maquina,Turno,Alarma_Reciente,Lubricacion_Correcta,Fallo_Proximo
1839,102,84,5,Motor,Noche,False,True,Si
768,88,40,11,Bomba,Manana,True,True,No
2396,90,99,9,Prensa,Manana,False,True,No
476,103,19,5,Prensa,Manana,False,False,No
413,82,58,0,Bomba,Manana,True,True,No
492,40,7,6,Cinta,Noche,False,True,No
2069,88,45,8,Cinta,Manana,False,True,No
351,44,38,0,Bomba,Tarde,True,True,No
1587,60,94,1,Prensa,Tarde,False,True,No
2727,61,78,6,Motor,Manana,True,False,Si
828,92,90,8,Bomba,Noche,False,False,Si
253,90,74,8,Cinta,Manana,True,False,No
408,77,85,10,Cinta,Manana,True,True,No
2664,77,11,7,Prensa,Tarde,False,False,No
2757,73,12,10,Cinta,Manana,False,False,No
1875,45,34,7,Cinta,Tarde,True,False,Si
669,52,11,10,Bomba,Noche,False,True,No
1635,106,54,8,Cinta,Noche,True,False,Si
1667,44,65,9,Motor,Manana,False,True,No
734,67,25,2,Prensa,Tarde,True,False,No
2619,58,77,4,Bomba,Noche,True,True,Si
1677,110,42,4,Cinta,Manana,False,True,No
657,112,76,9,Prensa,Manana,True,False,Si
1458,92,34,6,Cinta,Noche,False,True,No
1700,58,80,9,Cinta,Manana,False,False,No
251,100,35,5,Prensa,Tarde,False,False,No
2063,52,30,2,Bomba,Noche,False,False,No
1757,51,25,7,Motor,Tarde,False,False,No
2160,60,9,4,Cinta,Manana,True,True,No
872,47,32,0,Cinta,Manana,False,True,No
1951,104,51,10,Prensa,Noche,True,True,Si
2483,97,23,7,Bomba,Tarde,True,False,Si
2871,51,37,0,Cinta,Manana,True,True,Si
2701,68,87,3,Bomba,Noche,False,True,No
2844,41,61,2,Motor,Noche,True,True,Si
1301,75,55,6,Bomba,Tarde,False,True,No
2823,106,80,6,Prensa,Manana,False,False,Si
492,101,9,5,Bomba,Noche,False,False,No
2962,78,25,2,Motor,Manana,False,False,Si
154,103,38,4,Cinta,Tarde,False,True,No
2393,64,44,11,Motor,Noche,False,False,No
746,111,24,4,Prensa,Tarde,True,False,Si
2339,63,88,5,Prensa,Manana,False,True,No
1307,93,43,5,Bomba,Noche,False,False,Si
1977,46,82,9,Prensa,Tarde,True,True,No
1613,107,39,6,Prensa,Manana,True,True,Si
2382,98,19,5,Motor,Manana,False,False,Si
774,80,82,0,Prensa,Tarde,False,True,No
740,113,98,2,Cinta,Manana,True,False,Si
1702,94,62,6,Prensa,Manana,True,False,Si
1369,107,25,0,Prensa,Noche,True,True,Si
1460,79,17,1,Cinta,Noche,False,True,No
237,78,38,7,Bomba,Tarde,True,False,Si
2057,85,97,3,Motor,Tarde,True,True,Si
587,67,94,0,Motor,Manana,False,True,No
2672,72,99,8,Prensa,Noche,True,True,Si
130,46,89,1,Cinta,Tarde,False,True,No
1993,59,27,11,Prensa,Tarde,False,True,No
1155,57,54,1,Prensa,Tarde,True,True,No
2544,65,100,4,Motor,Tarde,False,False,Si
