Edad,Ingresos_Mensuales,Antiguedad_Laboral,Deuda_Actual,Historial_Credito,Tipo_Contrato,Tiene_Aval,Vivienda_Propia,Concede_Prestamo
35,5403,7,3515,Malo,Indefinido,False,True,Si
62,3231,10,2875,Bueno,Temporal,False,True,Si
58,951,2,4345,Bueno,Becario,False,False,No
37,3357,24,695,Malo,Temporal,True,True,Si
35,4329,21,3473,Regular,Becario,False,False,Si
50,1632,11,3521,Bueno,Becario,False,True,No
56,1148,0,1674,Bueno,Temporal,True,False,No
25,763,15,3527,Bueno,Becario,True,False,No
65,1046,13,153,Regular,Indefinido,False,False,Si
63,4121,9,943,Bueno,Autonomo,True,False,Si
41,1421,13,867,Bueno,Becario,True,False,Si
65,3481,7,2728,Regular,Indefinido,True,True,Si
40,3576,23,1209,Bueno,Temporal,False,True,Si
27,1317,5,4047,Regular,Becario,False,False,No
22,4541,14,2480,Regular,Indefinido,False,True,Si
46,1008,1,3020,Malo,Indefinido,True,False,No
53,1036,14,1542,Bueno,Becario,True,True,Si
69,3513,22,690,Regular,Temporal,True,True,Si
46,4993,16,1300,Bueno,Autonomo,False,False,Si
61,1128,25,2741,Bueno,Indefinido,False,False,Si
60,1931,10,667,Regular,Temporal,False,False,Si
62,3910,4,694,Bueno,Becario,False,True,Si
65,5012,2,3468,Regular,Indefinido,False,False,No
31,3499,24,3983,Bueno,Temporal,True,True,Si
68,1528,16,4421,Malo,Indefinido,False,True,No
27,2029,5,1356,Regular,Indefinido,False,False,Si
33,4338,19,2334,Regular,Becario,True,True,Si
69,4542,6,3013,Regular,Becario,False,False,No
50,5020,13,1327,Malo,Temporal,False,True,Si
41,5242,3,4226,Malo,Autonomo,True,True,No
50,1907,13,751,Malo,Temporal,False,False,No
44,1136,12,4112,Bueno,Becario,True,False,No
38,1511,22,2746,Regular,Temporal,True,False,Si
48,1836,24,3842,Bueno,Indefinido,True,True,Si
27,5195,23,4323,Bueno,Autonomo,True,False,Si
33,4139,20,3744,Bueno,Becario,True,True,Si
36,4216,0,2890,Bueno,Becario,True,True,Si
41,1254,16,4457,Regular,Indefinido,False,False,No
42,3758,8,133,Bueno,Indefinido,False,True,Si
58,1549,24,2723,Bueno,Autonomo,False,True,Si
61,4506,22,3920,Regular,Temporal,True,False,Si
30,1058,25,1634,Malo,Autonomo,False,False,Si
52,4578,8,299,Regular,Temporal,False,False,Si
21,3419,8,1019,Regular,Becario,False,False,Si
42,3477,5,4064,Regular,Autonomo,False,True,Si
23,4227,19,1478,Regular,Autonomo,True,True,Si
36,3210,14,3490,Bueno,Becario,False,False,No
40,4263,8,469,Bueno,Becario,False,True,Si
27,4289,1,1034,Bueno,Autonomo,False,False,Si
20,1956,21,3685,Malo,Autonomo,False,True,No
51,3706,12,2575,Regular,Temporal,True,True,Si
49,4941,12,964,Bueno,Autonomo,False,True,Si
36,4723,6,1004,Bueno,Indefinido,False,True,Si
46,1419,25,2618,Regular,Indefinido,False,False,Si
63,2126,25,2961,Regular,Indefinido,True,True,Si
49,915,11,3022,Regular,Temporal,True,True,No
63,4621,16,3365,Regular,Indefinido,True,False,Si
46,4516,21,4238,Bueno,Temporal,True,False,Si
21,1717,16,1253,Bueno,Temporal,False,True,Si
51,3026,2,2052,Bueno,Autonomo,True,False,Si
23,4817,20,1381,Regular,Temporal,True,False,Si
54,1037,0,665,Bueno,Autonomo,True,False,Si
19,4779,20,4469,Bueno,Autonomo,False,True,Si
61,4026,9,3715,Bueno,Indefinido,True,False,Si
47,2371,10,1176,Bueno,Autonomo,False,False,Si
41,4918,17,869,Bueno,Becario,True,False,Si
27,1493,1,2377,Malo,Becario,True,True,No
54,3261,6,1305,Regular,Becario,False,False,No
23,3921,16,3745,Malo,Temporal,False,True,No
49,4555,9,4396,Bueno,Indefinido,False,True,Si
64,3696,24,3303,Bueno,Becario,True,True,Si
36,1302,12,4130,Regular,Autonomo,True,True,Si
43,3757,25,2777,Regular,Autonomo,True,True,Si
43,4796,1,371,Bueno,Autonomo,False,False,Si
50,1845,10,2609,Bueno,Autonomo,False,False,Si
37,4590,0,3017,Bueno,Indefinido,False,False,Si
64,918,19,3887,Bueno,Temporal,True,False,Si
58,3814,4,1984,Bueno,Indefinido,True,True,Si
44,1940,13,1670,Bueno,Becario,True,True,Si
53,3362,21,3918,Regular,Autonomo,True,False,Si
39,5175,11,2165,Regular,Temporal,True,False,Si
32,3138,24,2367,Regular,Becario,False,False,Si
